"Date","FINI","SITC","Dealer","Total"
"2020/07/24","13378","65","-1820","11623"
"2020/07/23","-13179","-117","-495","-13791"
"2020/07/22","-9217","-588","-605","-10410"
"2020/07/21","17561","-338","-955","16268"
"2020/07/20","2320","-1149","-844","327"
"2020/07/17","9822","685","-2311","8196"
"2020/07/16","-17400","89","929","-16382"
"2020/07/15","-2621","-483","-560","-3664"
"2020/07/14","-2446","-307","997","-1756"
"2020/07/13","4862","-390","576","5048"
"2020/07/10","23962","25","-129","23858"
"2020/07/09","10482","96","136","10714"
"2020/07/08","1383","-79","1096","2400"
"2020/07/07","11775","-185","73","11663"
"2020/07/06","11930","-8","945","12867"
"2020/07/03","24697","3316","0","28013"
"2020/07/02","6445","472","100","7017"
"2020/07/01","9093","122","-389","8826"
"2020/06/30","11941","-115","503","12329"
"2020/06/29","-8238","805","-333","-7766"
"2020/06/24","24048","-167","716","24597"
"2020/06/23","17043","503","196","17742"
"2020/06/22","4989","-140","76","4925"
"2020/06/19","700","-265","0","435"
"2020/06/18","6577","-33","-2376","4168"
"2020/06/17","5115","-5","-666","4444"
"2020/06/16","15690","-93","1477","17074"
"2020/06/15","-6463","385","-277","-6355"
"2020/06/12","4883","-39","958","5802"
"2020/06/11","16042","-122","-1404","14516"
"2020/06/10","10342","-543","706","10505"
"2020/06/09","9579","-439","-272","8868"
"2020/06/08","11671","1566","-94","13143"
"2020/06/05","19834","286","768","20888"
"2020/06/04","14766","307","467","15540"
"2020/06/03","14653","376","4470","19499"
"2020/06/02","4214","224","84","4522"
"2020/06/01","9082","-13","145","9214"
"2020/05/29","-21159","-254","1685","-19728"
"2020/05/28","-9","-432","526","85"
"2020/05/27","4031","-173","-85","3773"
"2020/05/26","16341","681","0","17022"
"2020/05/25","-8520","-42","369","-8193"
"2020/05/22","-19301","104","97","-19100"
"2020/05/21","11763","166","808","12737"
"2020/05/20","11620","149","122","11891"
"2020/05/19","-1108","1244","160","296"
"2020/05/18","-42709","-245","-290","-43244"
"2020/05/15","8841","918","120","9879"
"2020/05/14","-18201","451","43","-17707"
"2020/05/13","-7340","718","-89","-6711"
"2020/05/12","-30764","132","179","-30453"
"2020/05/11","1037","384","567","1988"
"2020/05/08","-10659","-51","476","-10234"
"2020/05/07","-3801","133","987","-2681"
"2020/05/06","-6943","360","-1276","-7859"
"2020/05/05","-6049","31","34","-5984"
"2020/05/04","-37993","453","-744","-38284"
"2020/04/30","13706","1781","628","16115"
"2020/04/29","15525","169","-1392","14302"
"2020/04/28","-1499","-956","335","-2120"
"2020/04/27","8460","132","217","8809"
"2020/04/24","-567","3","-101","-665"
"2020/04/23","5029","-120","-387","4522"
"2020/04/22","-6088","-323","-214","-6625"
"2020/04/21","-15656","-322","-1675","-17653"
"2020/04/20","-1075","-13","-613","-1701"
"2020/04/17","57331","2427","-490","59268"
"2020/04/16","-6122","301","-188","-6009"
"2020/04/15","-587","727","-2037","-1897"
"2020/04/14","15372","330","945","16647"
"2020/04/13","-5653","39","-1194","-6808"
"2020/04/10","-3792","-542","493","-3841"
"2020/04/09","4812","-123","-188","4501"
"2020/04/08","8738","1213","-1109","8842"
"2020/04/07","21623","158","-254","21527"
"2020/04/06","4555","-558","1389","5386"
"2020/04/01","2247","661","-1032","1876"
"2020/03/31","9587","166","-1587","8166"
"2020/03/30","-11924","-661","-12","-12597"
"2020/03/27","-5230","-452","-2113","-7795"
"2020/03/26","20210","39","-694","19555"
"2020/03/25","11871","54","-3188","8737"
"2020/03/24","17391","104","-404","17091"
"2020/03/23","-15773","882","-1329","-16220"
"2020/03/20","-14569","0","-2250","-16819"
"2020/03/19","-28657","1414","-4529","-31772"
"2020/03/18","-32425","535","-3879","-35769"
"2020/03/17","-37528","526","-214","-37216"
"2020/03/16","-41867","175","-5214","-46906"
"2020/03/13","-38614","694","1686","-36234"
"2020/03/12","-38542","-138","-3716","-42396"
"2020/03/11","-21223","115","-4315","-25423"
"2020/03/10","-23367","402","1270","-21695"
"2020/03/09","-53913","357","-2124","-55680"
"2020/03/06","-34757","31","-1184","-35910"
"2020/03/05","-7424","-121","-746","-8291"
"2020/03/04","10137","490","-1659","8968"
"2020/03/03","-4002","-212","-976","-5190"
"2020/03/02","-35932","527","2951","-32454"
"2020/02/27","-24122","235","-445","-24332"
"2020/02/26","-35595","277","391","-34927"
"2020/02/25","-12928","-102","1144","-11886"
"2020/02/24","-26476","231","49","-26196"
"2020/02/21","-5035","-222","-622","-5879"
"2020/02/20","-7734","-335","251","-7818"
"2020/02/19","-2712","-53","1858","-907"
"2020/02/18","-40790","-548","1448","-39890"
"2020/02/17","-5521","-302","52","-5771"
"2020/02/14","-975","0","-310","-1285"
"2020/02/13","2055","-366","-1019","670"
"2020/02/12","5098","79","819","5996"
"2020/02/11","113","-5","-211","-103"
"2020/02/10","-8306","-676","428","-8554"
"2020/02/07","-4717","-145","62","-4800"
"2020/02/06","1095","30","1274","2399"
"2020/02/05","3003","-41","-1427","1535"
"2020/02/04","6328","-290","-1557","4481"
"2020/02/03","-10691","330","1309","-9052"
"2020/01/31","-16244","-31","-402","-16677"
"2020/01/30","-27189","-1955","-1955","-31099"
"2020/01/20","-3628","-556","1169","-3015"
"2020/01/17","-17769","-1197","33","-18933"
"2020/01/16","-24571","-147","2603","-22115"
"2020/01/15","-17904","-936","-323","-19163"
"2020/01/14","4419","-262","714","4871"
"2020/01/13","5692","-236","140","5596"
"2020/01/10","1689","-78","-879","732"
"2020/01/09","10077","60","-682","9455"
"2020/01/08","-792","-19","-423","-1234"
"2020/01/07","-14355","-302","631","-14026"
"2020/01/06","-16095","-864","822","-16137"
"2020/01/03","2593","197","-1108","1682"
"2020/01/02","-4757","-179","-17","-4953"
